,"France","Germany","Italy","United Kingdom","Zimbabwe","Zambia","Yugoslavia","Yemen","Western Sahara","Wake Island","Viet Nam","Venezuela","Uzbekistan","U.S. Territories","U.S. Pacific Islands","United States Virgin Islands","United Arab Emirates","United States of America","Ukraine","Uruguay","Uganda","Turks and Caicos Islands","Turkmenistan","Tunisia","Trinidad and Tobago","Tonga","Togo","Timor-Leste","Thailand","Tanzania","Taiwan","Turkey","Tajikistan","Vanuatu","Switzerland","Sweden","Swaziland","Suriname","Sri Lanka","Spain","Sudan","South Sudan","South Korea","South Africa","Somalia","Slovenia","Slovakia","Singapore","Sierra Leone","Seychelles","Serbia","Senegal","Sao Tome and Principe","Samoa","Saint Vincent and the Grenadines","Saudi Arabia","Saint Pierre and Miquelon","Solomon Islands","Saint Lucia","Saint Kitts and Nevis","Rwanda","Russian Federation & USSR","Reunion","Romania","Puerto Rico","Portugal","Qatar","Poland","Peru","Paraguay","Syria","Saint Helena","Panama","Palestinian Territories","Pakistan","Oman","Norway","Northern Mariana Islands","North Korea","Niue","Papua New Guinea","Nigeria","Nicaragua","New Zealand","New Caledonia","Netherlands","Nepal","Nauru","Namibia","Mozambique","Morocco","Montserrat","Montenegro","Philippines","Niger","Netherlands Antilles","Moldova","Mexico","Mauritius","Martinique","Malta","Mali","Maldives","Malawi","Madagascar","Malaysia","Macedonia","Macao Special Administrative Region (China)","Lithuania","Luxembourg","Libya","Liberia","Lesotho","Lebanon","Latvia","Laos","Kyrgyzstan","Kosovo","Kiribati","Kenya","Kazakhstan","Mongolia","Mauritania","Kuwait","Jordan","Jamaica","Ivory Coast","Israel","Ireland","Iraq","Iran","Indonesia","India","Inde","Hungary","Iceland","Hong Kong Special Administrative Region (China)","Guinea-Bissau","Guatemala","Haiti","Guinea","Guadeloupe","Grenada","Guyana","Guam","Greenland","Gibraltar","Greece","Ghana","Georgia","Gabon","Gambia","French Polynesia","French Guiana","Fiji","Finland","Falkland Islands (Malvinas)","Faeroe Islands","Ethiopia","Estonia","Equatorial Guinea","El Salvador","Egypt","Ecuador","Dominican Republic","Japan","Eritrea","Honduras","Djibouti","Denmark","Democratic Republic of the Congo","Czechoslovakia","Czechia","Cyprus","Cuba","Croatia","Costa Rica","Cook Islands","Congo","Comoros","Dominica","Czech republic","Colombia","Chile","Chad","Central African Republic","Cape Verde","Canada","Cameroon","Cayman Islands","Cambodia","Burma","Burkina Faso","Bulgaria","Brunei Darussalam","British Virgin Islands","Brazil","Burundi","Botswana","Bosnia and Herzegovina","China","Bhutan","Bermuda","Belize","Belgium","Belarus","Barbados","Bangladesh","Benin","Azerbaijan","Austria","Bahamas","Australia","Bahrain","Bolivia","Aruba","Armenia","Argentina","Antigua and Barbuda","American Samoa","Algeria","Afghanistan","Albania","Angola","Persian Gulf","EU28","OECD","OPEC","World","North America","Eurasia","Africa","Asia and Oceania","Central and South America","Europe","Middle East"
"1980-01-01 00:00:00",35.03413,137.955387,12.531035,80.040627,1.6723877,0.38366026,14.85446,0,0,0,2.6594741,0.030756271,,0,0,0,0,388.99277,,0.0023582499,0,0,,0.013471155,0,0,0,,0.64587027,0.0006330703,3.440027,7.5191355,,0,0.15812846,1.5455018,0.10326549,0.00071630266,0,17.831762,0,,17.465998,53.610939,0,,,0.0011122868,0,0,,0,0,0,0,0,0,0,0,0,0,289.02686,0,8.2451382,0,0.38133937,0,81.916161,0.047936589,0,0.00062802591,0,0,,0.9114607,0,0.65669703,0,18.262463,0,0,0.11880904,0,0.99472475,0.07761462,4.178432,0.033671923,0,,0,0.32595494,0,,0.15739757,0.010211424,0,,2.2937524,0,0,0,0,0,0.040741455,0.0059394352,0.046139449,,0.0027246487,,0.2330994,0,0,0,0,,0.000037580667,,,0,0.0081690783,,2.2696109,0.0040035518,0,0,0,0,0,0.59483624,0,1.2450842,0.1097218,48.495758,,6.2609735,0.0084701777,0.0019471325,0,0,0,0,0,0,0,0,0.0013619839,0,2.753237,0,,0,0,0,0,0.01199812,3.637841,0,0,0,,0,0,0.55845022,0,0,56.448475,,0,0,5.8468337,0.10396376,39.326889,,0,0.061612394,,0,0,0,0,0,,2.4046612,0.8914783,0,0,0,17.246611,0,0,0,0.12769464,0,7.3854866,0,0,5.6133814,0,0.217528,,365.99594,0.00044390585,0,0,11.963846,,0,0.012276519,0,,4.3430424,0,25.697536,0,0,,,0.98019898,0,0,0.065939061,0.062531404,1.0672168,0,1.2450842,422.67870921,925.4218610277,1.460588572,1796.28658943419,408.5344953839,289.02686,57.2440666406,543.932649319517,10.03309968656,486.2697061777,1.24571222591
"1981-01-01 00:00:00",31.372465,140.178124,13.23586,75.897911,1.5410125,0.30680424,17.780325,0,0,0,2.9594197,0.035882324,,0,0,0,0,401.21832,,0.0011778638,0,0,,0.016678577,0,0,0,,0.73885548,0.0012686627,3.2013052,7.8245969,,0,0.28463119,1.4963465,0.096224666,0.00071630266,0,23.379433,0,,19.482603,58.531551,0,,,0.0016671692,0,0,,0,0,0,0,0,0,0,0,0,0,289.91577,0,8.5221891,0,0.35329974,0,75.368362,0.07478109,0,0.0037628841,0,0,,1.032843,0,0.69268978,0,18.99235,0,0,0.086347535,0,0.99726105,0.05303666,4.5204344,0.025459262,0,,0,0.38652608,0,,0.1512361,0.015317123,0,,2.0451713,0,0,0,0,0,0.030085998,0.007127312,0.086236812,,0.00068099197,,0.19944334,0,0,0,0,,0.000041868392,,,0,0.04646166,,1.8367549,0.0040035518,0,0,0,0,0,0.75685161,0,1.0404798,0.099327117,54.627235,,6.2357426,0.016940355,0.037006162,0,0,0,0,0,0,0,0,0.0013619839,0,3.2471366,0,,0,0,0,0,0.010284114,1.7166622,0,0,0,,0,0,0.72212332,0,0,62.458035,,0,0,4.6610222,0.10769635,39.073589,,0,0.061612394,,0,0,0,0,0,,2.4077971,0.90548873,0,0,0,17.62468,0,0,0,0.13953729,0,7.300168,0,0,6.070981,0,0.23629023,,364.80878,0.0004615612,0,0,11.833706,,0,0.012851176,0,,4.5584993,0,26.063032,0,0,,,0.89614224,0,0,0.19356309,0.065684244,1.1415166,0,1.0404798,414.83365659,938.624748795,1.356272749,1824.16313718072,420.8895332839,289.91577,62.3290818955,557.881984857762,10.45457904446,481.647945415,1.0442426841
"1982-01-01 00:00:00",33.221279,140.536251,14.408751,71.176903,1.5970494,0.33345592,18.652357,0,0,0,3.2705231,0.037346885,,0,0,0,0,386.43954,,0.00059019303,0,0,,0.0089807706,0,0,0,,0.92273164,0.0012686627,3.7865212,8.6931381,,0,0.25049552,1.8042902,0.096224666,0.00071630266,0,25.982918,0,,19.834461,62.660851,0,,,0.0011122868,0,0,,0,0,0,0,0,0,0,0,0,0,299.93219,0,8.6882524,0,0.33398351,0,77.755768,0.067750372,0,0.003135741,0,0,,1.2520965,0,0.69336885,0,19.981508,0,0,0.044796836,0,1.0074061,0.042041264,5.3023405,0.028744318,0,,0,0.37369323,0,,0.18596441,0.022975709,0,,2.4529366,0,0,0.016015492,0,0,0.038234293,0.007127312,0.081293285,,0.00068099197,,0.17825249,0,0,0,0,,0.000083736784,,,0,0.023486126,,2.3162904,0.0046707978,0,0,0,0,0.561827,0.7650401,0,1.4022037,0.092397317,58.213715,,6.4573679,0.017646216,0.65961844,0,0,0.027704341,0,0,0,0,0,0.00068099197,0,3.2948029,0,,0,0,0,0,0.013140799,1.9141486,0,0,0,,0,0,0.73990053,0,0,62.173275,,0,0,5.67416,0.097112857,40.373112,,0,0.084311694,,0,0,0,0,0,,2.3431962,0.6190533,0,0,0,19.041517,0,0,0,0.1374777,0,7.8869343,0,0,6.4552665,0,0.25505272,,384.68289,0.00046660559,0,0,11.632897,,0,0.015672147,0,,4.316905,0,27.756218,0,0,,,0.93226576,0,0,0.98766804,0.076193742,1.2766073,0,1.4022037,421.347260392,933.735113886,2.472015461,1865.5312898119,407.93467459197,299.93219,67.2925488701,586.532522983144,10.56820154769,491.303985378,1.967166441
"1983-01-01 00:00:00",29.389465,139.7178,13.27804,71.189873,1.5659178,0.29688734,20.816378,0,0,0,3.2915258,0.027094804,,0,0,0,0,400.88858,,0,0,0,,0.017961541,0,0,0,,0.876239,0.0025350051,5.1649656,9.8443222,,0,0.22890975,2.1780155,0.059847035,0.00071630266,0,27.084349,0,,21.15748,65.953407,0,,,0.0011122868,0,0,,0,0,0,0,0,0,0,0,0,0,298.85361,0,10.534838,0.07132142,0.37012351,0,79.621223,0.079255156,0,0.0018815555,0,0,,1.164067,0,0.70151818,0,20.844294,0,0,0.03960301,0,1.0982045,0.062738501,5.1515722,0.058309909,0,,0,0.49534884,0,,0.59206128,0.066374242,0,,2.8808885,0,0,0.034700271,0,0,0.033846762,0.0065333862,0.21696521,,0.00068099197,,0.1040845,0,0,0,0,,0.00012560518,,,0,0.016338157,,2.3684247,0.0046707978,0,0,0,0,1.0539749,0.87324536,0,1.3232948,0.079115197,61.829437,,6.1614127,0.026116394,1.9489907,0,0,0.046049986,0,0,0,0,0,0.00068099197,0,3.8612123,0,,0,0,0,0,0.010284114,2.0119331,0,0,0,,0,0,0.69576395,0,0,60.831947,,0,0,5.3405585,0.091511823,40.707977,,0,0.058369637,,0,0,0,0,0,,2.4052882,0.7415148,0,0,0,20.179852,0,0,0,0.12923934,0,7.8988061,0,0,7.0228362,0,0.24918945,,407.87292,0.00050696067,0,0,10.535797,,0,0.0085151987,0,,4.482913,0,26.772564,0,0,,,0.88850069,0,0,0.84302747,0.076193742,1.3846799,0,1.3232948,419.819962041,946.703514994,2.233020084,1916.94924465355,423.95000149197,298.85361,70.4387636091,616.45690763632,11.34094719566,493.529863465,2.3791512555
"1984-01-01 00:00:00",27.958414,143.292519,14.919001,49.430569,1.6063888,0.28635064,23.218246,0,0,0,3.2941511,0.037346885,,0,0,0,0,430.55377,,0,0,0,,0.015395613,0,0,0,,1.0609529,0.0019017331,6.0746579,11.605694,,0,0.3252928,2.6269193,0.073341973,0.00071630266,0,26.743647,0,,24.990788,70.341499,0,,,0.00055488234,0,0,,0,0,0,0,0,0,0,0,0,0,302.24246,0,10.382596,0.041708436,0.34769177,0,85.220886,0.093316555,0,0.0012535296,0,0,,1.2903702,0,0.74362284,0,21.393808,0,0,0.05518451,0,1.0763927,0.066619225,6.3498855,0.059541825,0,,0,0.49226895,0,,0.94774622,0.076585665,0,,2.870507,0.016230738,0,0.062727407,0,0,0.032593157,0.004157607,0.23509143,,0.00068099197,,0.12091254,0,0,0,0,,0.00016747357,,,0,0.042377122,,2.3131311,0.0046707978,0,0,0,0,1.6810868,0.87207556,0,1.0244187,0.021944361,66.945076,,6.1893716,0.03882166,2.7267692,0,0,0.048446525,0,0,0,0,0,0.00068099197,0,3.8761897,0,,0,0,0,0,0.012569472,2.4254403,0,0,0,,0,0,0.70679814,0,0,68.263367,,0,0,5.6618261,0.097738005,41.223812,,0.0067768535,0.072637782,,0,0,0,0,0,,2.5062666,0.96879506,0,0,0,22.497812,0,0,0,0.13490322,0,7.9024282,0,0,8.4781122,0,0.24625781,,447.4845,0.00038085107,0,0,11.697268,,0,0.032389112,0,,5.1172738,0,27.03734,0,0,,,0.68009555,0,0,0.86926132,0.077770166,1.4995071,0,1.0244187,411.2044186305,983.82209323,1.986211415,2014.16951085858,455.92276999197,302.24246,74.9690015809,675.54166332995,12.92744189566,489.8594150305,2.7067590296
"1985-01-01 00:00:00",26.718954,144.350426,16.283747,67.44976,1.8840824,0.29192889,24.543623,0,0,0,3.2751174,0.030756271,,0,0,0,0,440.83939,,0,0,0,,0.013471155,0,0,0,,1.6324422,0.0025350051,6.4228902,15.265343,,0,0.32127684,3.0057046,0.09739814,0,0,27.644196,0,,28.049465,72.25882,0,,,0.0011122868,0,0,,0,0,0,0,0,0,0,0,0,0,304.41699,0,11.021091,0.041708436,0.66422838,0,89.372238,0.10482133,0,0,0,0,,1.61515,0,0.74973476,0,16.907501,0,0.00066838099,0.066221423,0,1.0439284,0.11448158,6.46802,0.046401557,0,,0,0.56977952,0,,1.3404,0.077096231,0,,3.0787153,0.0220738,0,0.12812404,0,0,0.038547676,0.0023759052,0.31528619,,0,,0.12402884,0,0,0,0,,0.00041868395,,,0,0.045951091,,2.798377,0.0046707978,0,0,0,0,1.8373939,0.92764038,0,1.0083576,1.2768153,70.285019,,5.8249969,0.048703536,3.3513291,0,0,0.044615239,0,0,0,0,0,0,0,4.5127316,0,,0,0,0,0,0.009141434,3.3988121,0,0,0,,0,0,0.74541759,0,0.013189831,71.74231,,0,0,6.9932947,0.097115479,40.184681,,0.0096439812,0.081717499,,0,0,0,0,0,,2.7784686,0.94959563,0,0,0,22.045876,0,0,0,0.13696279,0,7.834415,0,0,10.275518,0,0.27322891,,466.82852,0.00042372831,0,0,11.020677,,0,0.051195715,0,,4.9774036,0,29.944347,0,0,,,0.86140805,0,0,0.86926132,0.079346582,1.6008251,0,1.0083576,438.7301331212,1033.815544566,1.974596614,2094.48186790435,465.9639813,304.41699,77.3599753331,707.26905052805,15.181798886,521.4443203572,2.8457515
"1986-01-01 00:00:00",22.771631,147.027886,14.69109,73.390892,2.2252843,0.32415885,24.92354,0,0,0,3.609849,0.041740645,,0,0,0,0,435.34061,,0,0,0,,0.0076978067,0,0,0,,2.2039316,0.0025350051,7.8581181,18.219486,,0,0.27559531,3.077992,0.10091854,0,0,26.802429,0,,28.957815,72.340103,0,,,0.00055488234,0,0,,0,0,0,0,0,0,0,0,0,0,313.44574,0,11.275525,0.096763581,1.3758126,0,92.830673,0.10098641,0,0,0,0,,1.6698266,0,0.70287633,0,16.729227,0,0.00066838099,0.086347535,0,0.90544808,0.113188,6.7212582,0.033261288,0,,0,0.75097966,0,,1.0328865,0.063310809,0,,3.4351497,0.036356848,0,0.090754539,0,0,0.036980689,0.0065333862,0.23344359,,0,,0.11405667,0,0,0,0,,0.0008373679,,,0,0.043398254,,3.0933251,0.0033362804,0,0,0,0,2.0194385,1.3639706,0,0.99299479,2.4981921,75.727722,,5.7593045,0.052232787,4.0706768,0,0,0.013157647,0,0,0,0,0,0,0,4.7351351,0,,0,0,0,0,0.0085700816,2.9066937,0,0,0,,0,0,0.74786967,0,0.016487295,68.903748,,0,0,7.0902038,0.099608213,39.391201,,0.0071678185,0.077177621,,0,0,0,0,0,,2.9421661,0.98176771,0,0,0,20.573061,0,0,0,0.14314158,0,8.4897985,0,0,10.452693,0,0.30606329,,480.65732,0.00054983795,0,0,9.8829947,,0,0.077315964,0,,4.1954017,0,29.659842,0,0,0,,1.0017341,0,0,1.0585703,0.084075846,1.5738069,0,0.99299479,444.6006704275,1032.745056487,2.17965327,2127.78466398868,459.3488207,313.44574,78.2400524364,728.27353469878,15.724674109,529.7394087545,3.01243329
"1987-01-01 00:00:00",20.410984,144.258179,15.129904,74.502098,3.0122905,0.27395451,24.153173,0,0,0,4.0259662,0.045402113,,0,0,0,0,454.20755,,0,0,0,,0.010263734,0,0,0,,3.1888843,0.0019017331,8.6067305,17.764238,,0,0.26153943,3.0194392,0.096811377,0,0,25.964087,0,,29.245516,76.742538,0,,,0.00055488234,0,0,,0,0,0,0,0,0,0,0,0,0,314.31976,0,12.272739,0.12220572,1.7858149,0,97.840157,0.095873177,0,0,0,0,,1.7381725,0,0.70966744,0,16.179695,0,0.00066838099,0.077907547,0,1.0043626,0.10025223,7.1983643,0.039420784,0,,0,0.87366188,0,,1.1309099,0.083733663,0,,3.3365245,0.032461476,0,0.1214509,0,0,0.037646648,0.007127312,0.28507581,,0,,0.13026142,0,0,0,0,,0.00041868395,,,0,0.046972226,,3.2675714,0.0040035518,0,0,0,0,2.1512637,1.9014874,0,0.97693372,3.0179269,81.890244,,5.8181777,0.042350914,5.0704923,0,0,0.013157142,0,0,0,0,0,0,0,5.2807426,0,,0,0,0,0,0.0028580979,3.6800227,0,0,0,,0,0,0.79200619,0,0.0136609,68.82515,,0,0,6.988009,0.10271697,39.519943,,0.019678926,0.055126879,,0,0,0,0,0,,3.1259339,0.96464384,0,0,0,23.155304,0,0,0,0.058698352,0,8.8592434,0,0,10.367161,0,0.31192654,,508.1438,0.0079697501,0,0,10.170564,,0,0.065176047,0,,4.3034835,0,32.442593,0,0,0,,1.0545301,0,0,1.1450709,0.08775416,1.6413523,0,0.97693372,449.654887946,1060.341215444,2.24531428,2199.83203925718,480.6993785,314.31976,83.6529947579,768.42686177828,15.857694771,533.74715203,3.12819742
"1988-01-01 00:00:00",19.821688,141.622604,14.604688,71.826515,2.8977263,0.31238252,24.683495,0,0,0,3.7706513,0.061512541,,0,0,0,0,475.34015,,0,0,0,,0.018603036,0,0,0,,3.1719232,0.0019017331,9.831049,15.128805,,0,0.22740376,2.85607,0.085663415,0,0,21.816315,0,,31.002787,77.404755,0,,,0.00055488234,0,0,,0,0,0,0,0,0,0,0,0,0,319.27832,0,13.99682,0.14931621,2.0761812,0,95.698929,0.097790644,0,0,0,0.010388255,,1.969455,0,0.6865778,0,20.096573,0,0.00066838099,0.034409162,0,1.1621186,0.10995407,8.5676785,0.029976232,0,,0,0.84902281,0,,1.4216193,0.079138525,0,,3.1392746,0.025969174,0,0.1527625,0,0,0.038861059,0.007127312,0.22685224,,0,,0.10283798,0,0,0,0,,0.00041868395,,,0,0.057694167,,3.4513469,0.0040035518,0,0,0.0054622618,0,2.129293,1.8985629,0,1.0083576,3.7836697,87.451714,,5.3706079,0.047291838,5.6281815,0,0,0.022666413,0,0,0,0,0,0,0,6.056242,0,,0,0,0,0,0.004570717,3.7445731,0,0,0,,0,0,0.86618018,0,0.0057116812,74.462326,,0,0,6.6085963,0.10334053,38.959713,,0.0118595,0.061612394,,0,0,0,0,0,,2.9879513,1.3149046,0,0,0,25.100245,0,0,0,0.054064255,0,8.1738777,0,0,10.031139,0,0.3693867,,543.54926,0.0084649567,0,0,10.546992,,0,0.053036131,0,,3.9043586,0,33.559849,0,0,0,,1.1545646,0,0,1.14578,0.072515428,1.6481068,0,1.0083576,439.45875918,1078.295172678,2.250059303,2271.91435712988,503.5796696,319.27832,84.3019451749,824.87359947698,15.9030199,520.840152378,3.1376506
"1989-01-01 00:00:00",21.621395,138.473969,14.308743,68.96875,2.9649704,0.29130909,24.519423,0,0,0,3.0270224,0.031927928,,0,0,0,0,480.97601,,0,0,0,,0.019244529,0,0,0,,3.7774684,0.0019017331,10.151469,20.08869,,0,0.23593768,2.5871613,0.089770503,0,0,27.541471,0,,29.80876,77.387421,0,,,0.0011652529,0,0,,0,0,0,0,0,0,0,0,0,0,302.5018,0,14.030536,0.12429114,2.4382043,0,91.663475,0.10482133,0,0,0,0.009738992,,1.9235265,0,0.53853232,0,15.526193,0,0.00066838099,0.035707638,0,1.0124787,0.13388523,8.7341108,0.0049276073,0,,0,0.91370046,0,,1.1947652,0.087307654,0,,3.3947768,0.04284915,0,0.20219573,0,0,0.040114637,0.0077212634,1.0430809,,0,,0.12278232,0,0,0,0,,0.00041868395,,,0,0.066884384,,3.2884448,0.0040035518,0,0,0.038235757,0,2.2793226,2.0050135,0,0.7409054,4.4056191,92.875526,,5.0582867,0.050115258,6.0021381,0,0,0.0087277191,0,0,0,0,0,0,0,6.3156133,0,,0,0,0,0,0.0091372728,3.6429539,0,0,0,,0,0,0.88640946,0,0.0058883103,74.287735,,0,0,5.3493686,0.10583066,36.518898,,0.013293063,0.012971031,,0,0,0,0,0,,3.268307,1.775692,0,0,0,24.83321,0,0,0,0.053549372,0,8.1624088,0,0,10.039082,0,0.3981168,,537.64728,0.0076184585,0,0,11.087846,,0,0.011545159,0,,3.9728808,0,36.589031,0,0,0,,1.1128836,0,0,1.0344635,0.066735193,1.6433786,0,0.7409054,436.300458113,1087.482993278,1.843004466,2258.38193970214,509.2039968,302.5018,84.3777264133,822.85018871044,16.5325668074,519.895432971,3.020228
"1990-01-01 00:00:00",21.187031,127.249405,15.250322,69.029694,3.0564973,0.23056807,23.752714,0,0,0,2.7264204,0.025996363,,0,0,0.053158659,0,483.57053,,0.00059019303,0,0,,0.0096222647,0,0,0,,5.3684287,0.00253498,9.9834366,20.0103,,0,0.24798556,2.6811347,0.094464324,0,0.00030518527,26.875477,0,,29.313726,80.192284,0,,,0.0015133155,0,0,,0,0,0,0,0,0,0,0,0,0,333.82941,0,9.6178274,0.08883898,2.736671,0,76.984352,0.081811778,0,0,0,0.020776534,,2.3210261,0,0.52630836,0,15.377493,0,0.00066838099,0.043498386,0,1.107604,0.10607332,8.4090786,0.028744318,0,0,0,0.91062057,0,,1.2513387,0.075497545,0,,4.2541409,0.036356848,0,0.20019381,0,0,0.039038647,0.0070046075,1.1556832,,0.0015032267,,0.12278232,0,0,0,0,,0.00041868395,,,0,0.077095732,,3.0170925,0.0040035518,0,0,0.03550465,0,2.3351915,1.9640709,0,0.7409054,4.8173647,99.292679,,4.6154904,0.045880143,6.4163475,0,0,0.008741742,0,0,0,0,0,0,0,6.351512,0,,0,0,0,0,0.01370519,3.6090808,0,0,0,,0,0,0.77852005,0,0.010010153,78.271133,,0,0,5.8673902,0.10645319,36.124943,,0.01264143,0.099228367,,0,0,0,0,0,,3.245728,1.9308444,0,0,0,22.680883,0,0,0,0.063332431,0,7.6110573,0,0,9.4305782,0,0.44736835,,612.37024,0.0076184585,0,0,11.628699,,0,0.029150214,0,,4.7068467,0,36.355061,0,0,0,,0.95380098,0,0,0.71256739,0.055174775,1.448848,0,0.7409054,406.71075756,1067.583433983,1.522967539,2348.54168412694,510.5055539,333.82941,86.823995806,909.45328189891,15.98560899903,488.867736623,3.0760969
"1991-01-01 00:00:00",22.712839,127.58891,14.087635,68.634224,3.0975909,0.23242746,22.25943,0,0,0,2.9594197,0,,0,0,0.089568704,0,479.00635,,0,0,0,,0.0076978067,0.00061289273,0,0,,6.3366694,0.00253498,10.878644,21.259012,,0,0.20631997,2.624028,0.088596977,0,0.00035310694,27.189926,0,,28.629593,78.504463,0,,,0.0011299422,0,0,,0,0,0,0,0.005858927,0,0,0,0,0,256.48209,0,8.0755157,0.080080189,2.9080243,0,76.764885,0.12016106,0,0,0,0.029866263,,2.2007375,0,0.46043494,0,15.228792,0,0.00066838099,0.042199936,0,1.0880809,0.11383479,7.9698272,0.040242057,0,0.0089069204,0,1.0019907,0,,1.5868587,0.075750291,0,,4.2362614,0.038953774,0,0.162157,0,0,0.036353871,0.0070046075,1.3611134,,0.0014351275,,0.12652187,0,0,0,0,,0.00041868395,,,0,0.077095732,,3.1727343,0.0040035518,0,0,0.034821868,0,2.5486228,1.9202039,0,1.0558426,5.3613539,106.85029,,4.517066,0.042350914,6.8928828,0,0,0.018202208,0,0,0,0,0,0,0,6.3102646,0,,0,0,0,0,0.010284114,3.5585909,0,0,0,,0,0,0.73990053,0,0.011423337,79.274231,,0,0,7.9353666,0.043266065,32.536861,,0.01264143,0.068746462,,0,0,0,0,0,,3.3159738,1.5862917,0,0,0,23.43243,0,0,0,0.053034466,0,6.6266747,0,0,10.273685,0,0.43212381,,544.58453,0.0076184585,0,0,11.069654,,0,0.094032928,0,,4.8410654,0,37.72567,0,0,0,,0.84056753,0,0,0.79410493,0.049394567,0.81527251,0,1.061701527,405.6360206,1067.706057594,1.898006393,2206.19217173921,506.6750414,256.48209,85.2349658424,854.50404722208,16.47000101373,483.215701934,3.610324327
